year,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
1995,-359.5,-180.2,-151.3,-21.7,-43,-28.3,-37.7,0,566.6342,659.1,511.5171,372.3658,7174.67,23.4,88.2829,-535,-775.4
1996,-364.93443,-189.99514,-155.31812,-21.56387,-42.64206,-25.64352,-38.95095,0,611.83941,672.07382,515.75133,406.03335,0,19.52404,87.84264,-530.45168,-791.06362
1997,-387.55206,-166.52783,-149.90534,-21.60167,-66.88197,-24.17171,-39.25596,0,594.982,663.07983,508.5123,393.55659,0,19.19025,88.61101,-721.98031,-881.16362
1998,-394.65663,-195.74917,-155.82997,-21.41021,-43.69004,-9.61794,-39.77231,0,599.41056,660.7197,514.302,389.05122,0,18.44063,90.02092,-710.2736,-897.85417
1999,-397.41533,-188.6631,-161.84492,-22.37968,-47.00983,-6.37497,-39.81283,0,610.28532,669.1099,521.53673,392.75193,0,18.3897,91.62273,-688.34225,-916.75444
2000,-405.24721,-196.38064,-169.86752,-23.40462,-44.06243,-6.97563,-40.37579,0,623.12409,681.51405,531.00642,395.52903,0,18.15933,93.235,-688.21543,-936.19446
2001,-414.17025,-193.5253,-178.58887,-24.09699,-43.19575,-7.1111,-40.76787,0,637.69004,694.82906,540.99953,399.39923,0,17.99021,94.86754,-683.19441,-957.43447
2002,-421.99674,-177.50611,-186.89487,-24.44173,-52.96181,-7.10033,-40.93725,0,648.84137,704.72672,547.64203,402.91168,0,17.92944,96.0042,-667.16381,-974.34808
2003,-430.17214,-189.34776,-196.17025,-24.60518,-46.74796,-7.29036,-40.86387,0,662.70921,717.03954,556.71417,408.44256,0,17.96569,97.88551,-666.34555,-991.32773
2004,-441.16379,-203.42518,-207.18134,-24.94612,-48.74034,-7.61263,-41.16379,0,680.94323,731.89684,564.28976,417.69096,0,18.28051,99.52872,-672.15209,-1014.61136
2005,-450.381,-219.30375,-217.74242,-25.17556,-45.45196,-7.93817,-41.32676,0,697.95329,744.86372,572.31291,426.94112,0,18.62872,101.42476,-674.98132,-1033.98123
2006,-457.97039,-237.04586,-228.61683,-25.32322,-39.10041,-8.16113,-41.28566,0,709.9984,755.81793,575.11084,433.48521,0,18.90459,102.13493,-677.26977,-1048.95165
2007,-469.61865,-245.26301,-241.54084,-25.58466,-51.24002,-8.26829,-41.37931,0,727.09229,772.3177,584.4016,443.52166,0,19.33732,104.09421,-677.84255,-1072.14343
2008,-482.38784,-252.29101,-254.9025,-25.79435,-63.65891,-8.18288,-41.32688,0,744.38101,787.45138,593.21461,453.13517,0,19.71571,106.02,-676.13528,-1093.99758
2009,-492.70489,-267.13227,-270.69376,-26.35377,-65.08054,-8.34327,-42.14882,0,761.21673,804.6412,604.25906,463.13366,0,20.15598,107.9292,-687.81279,-1116.7132
2010,-505.05817,-282.91664,-286.57369,-26.93618,-66.54869,-8.50045,-43.02976,0,778.06545,822.18789,614.99552,473.21887,0,20.60927,109.76454,-699.60152,-1139.71845
2011,-518.18919,-299.8128,-302.43979,-27.52402,-68.02354,-8.65319,-43.94734,0,794.84944,839.6689,625.30593,483.24467,0,21.06238,111.50963,-711.5687,-1162.56281
2012,-532.01672,-317.76822,-318.22257,-28.11535,-69.51311,-8.80038,-44.89005,0,811.46787,856.98381,635.07986,493.15604,0,21.51355,113.14645,-725.03786,-1185.48509
2013,-547.25915,-336.34866,-334.01365,-28.72015,-71.02618,-8.9366,-45.84755,0,827.80523,874.00454,644.37322,502.89172,0,21.95939,114.68732,-737.65439,-1207.70526
2014,-563.89333,-355.60758,-349.62883,-29.31704,-72.73048,-9.10904,-46.81932,0,844.78321,891.40746,656.47401,513.03241,0,22.40038,116.81608,-749.61741,-1229.81561
2015,-581.64329,-375.27305,-364.78904,-29.92183,-74.26144,-9.24158,-47.80174,0,860.80129,908.13306,664.93438,522.55554,0,22.84156,118.18759,-761.5069,-1251.20021
2016,-600.41447,-395.10712,-379.39498,-30.51459,-75.98766,-9.40304,-48.80504,0,877.53401,925.37106,676.14472,532.54835,0,23.28336,120.13083,-773.53859,-1273.13859
2017,-620.59469,-415.13378,-393.36852,-31.10368,-77.70916,-9.558,-49.80665,0,894.08646,942.46692,686.84518,542.42021,0,23.72284,121.96932,-786.35033,-1295.11109
2018,-641.67935,-435.52004,-406.68696,-31.6895,-79.43047,-9.70702,-50.83206,0,910.53246,959.47106,697.08313,552.22355,0,24.16292,123.71167,-798.20396,-1316.61576
2019,-663.57815,-456.01694,-419.32417,-32.27427,-81.15907,-9.85481,-51.86444,0,926.83708,976.35464,706.8517,561.92741,0,24.60129,125.35841,-809.54633,-1337.80462
2020,-685.87279,-476.901,-431.13821,-32.85031,-82.88856,-9.99633,-52.89813,0,943.0432,993.12835,716.1937,571.55992,0,25.03928,126.9163,-820.43042,-1358.62453
2021,-708.41768,-498.07317,-442.00947,-33.42464,-84.61805,-10.1318,-53.94187,0,959.2166,1009.84244,725.14648,581.15083,0,25.47754,128.39318,-831.23317,-1379.36211
2022,-731.42355,-520.10909,-453.56113,-34.00198,-86.35482,-10.26249,-54.99008,0,975.5582,1026.67398,733.83401,590.81377,0,25.92072,129.81009,-843.6035,-1400.65391
2023,-754.64134,-542.44387,-466.13419,-34.57482,-88.26196,-10.42835,-56.05935,0,992.89028,1044.25384,745.16228,601.08488,0,26.37166,131.77057,-855.16653,-1422.47239
2024,-776.11217,-565.43021,-479.30317,-35.15615,-90.1574,-10.5873,-57.12343,0,1010.41122,1062.00118,756.12657,611.4375,0,26.82894,133.64827,-866.36074,-1444.40784
2025,-798.35403,-589.8024,-492.7602,-35.74523,-92.04755,-10.74453,-58.20304,0,1028.21268,1079.97824,766.80321,621.92478,0,27.29452,135.45973,-877.33179,-1466.5527
2026,-822.18039,-614.79894,-506.60045,-36.34252,-93.93188,-10.89999,-59.28789,0,1046.28614,1098.20936,777.23782,632.55404,0,27.7692,137.21275,-888.31705,-1489.03981
2027,-845.93071,-640.35463,-520.98223,-36.95221,-95.8105,-11.05769,-60.38029,0,1064.68247,1116.76537,787.48511,643.35425,0,28.25397,138.91735,-901.05378,-1512.48257
2028,-869.2842,-666.61885,-536.28436,-37.58306,-97.6792,-11.21019,-61.492,0,1083.53394,1135.78115,797.62036,654.40964,0,28.75299,140.5871,-913.26638,-1536.3049
2029,-891.69446,-693.18623,-552.39526,-38.22893,-99.68476,-11.39316,-62.62141,0,1103.53996,1155.77034,810.28788,666.16968,0,29.26625,142.77012,-925.42609,-1561.2665
2030,-913.45812,-720.18718,-568.63213,-38.89759,-101.51864,-11.54779,-63.76414,0,1123.288,1175.72969,820.08931,677.73021,0,29.79492,144.34457,-937.56672,-1586.28034
2031,-934.6312,-747.00985,-584.67784,-39.58542,-103.48338,-11.72787,-64.92313,0,1144.15264,1196.65127,832.36626,689.97499,0,30.33743,146.42063,-949.943,-1612.51638
2032,-955.5194,-773.49814,-601.70395,-40.2945,-105.42215,-11.91053,-66.09868,0,1165.39254,1218.00249,844.4004,702.43702,0,30.89407,148.43444,-962.66394,-1639.39117
2033,-976.04455,-799.13049,-620.56534,-41.02322,-107.33224,-12.08821,-67.29736,0,1186.91747,1239.7229,856.1688,715.0691,0,31.46296,150.3816,-975.66353,-1666.78613
2034,-995.7128,-824.40166,-639.77679,-41.77179,-109.35577,-12.29066,-68.51624,0,1209.35374,1262.20718,870.14714,728.26889,0,32.04223,152.77992,-988.91524,-1695.11407
2035,-1014.22476,-848.84428,-658.67637,-42.54228,-111.20889,-12.46642,-69.75473,0,1231.40111,1284.604,881.31016,741.20739,0,32.63405,154.58149,-1002.468,-1723.49764
2036,-1031.66145,-872.27239,-677.63374,-43.33184,-113.1644,-12.665,-70.99091,0,1254.21782,1307.67517,894.59601,754.64296,0,33.23418,156.81695,-1016.21219,-1752.68458
2037,-1048.86143,-895.01172,-696.71016,-44.13935,-115.09345,-12.86008,-72.25196,0,1277.26599,1331.08143,907.57511,768.21788,0,33.84529,158.97927,-1030.21325,-1782.32675
2038,-1066.14697,-917.30996,-715.84921,-44.9632,-116.9902,-13.05051,-73.53222,0,1300.51361,1354.77331,920.19995,781.91483,0,34.46704,161.0585,-1044.43227,-1812.38431
2039,-1083.35788,-939.28981,-735.02427,-45.7972,-118.99744,-13.26695,-74.835,0,1324.61312,1379.20803,934.81776,796.14425,0,35.09949,163.54292,-1058.91016,-1843.34227
2040,-1100.34422,-961.16613,-754.24721,-46.64513,-120.84156,-13.45382,-76.1558,0,1348.21461,1403.38592,946.58938,810.03812,0,35.74006,165.42873,-1073.61118,-1874.14473
2041,-1117.3989,-982.24376,-773.3952,-47.50508,-122.79499,-13.65905,-77.49299,0,1372.46412,1428.10086,960.22428,824.34179,0,36.38579,167.6969,-1088.48557,-1905.5676
2042,-1135.06714,-1002.43099,-792.4225,-48.37019,-124.72164,-13.85935,-78.84241,0,1396.72024,1452.89736,973.35399,838.65066,0,37.03708,169.85525,-1103.51919,-1937.14163
2043,-1153.57904,-1023.26742,-811.54648,-49.24154,-126.76351,-14.07895,-80.21227,0,1421.68563,1478.21709,988.25968,853.38287,0,37.6937,172.37795,-1118.71426,-1969.30921
2044,-1172.84854,-1044.32315,-830.71802,-50.11763,-128.66215,-14.27049,-81.6073,0,1446.14979,1503.22273,1000.37481,867.76577,0,38.35631,174.31567,-1134.07754,-2001.21496
2045,-1193.01295,-1065.05105,-850.03312,-50.99701,-130.67873,-14.47958,-83.01546,0,1471.23657,1528.71015,1014.17896,882.53492,0,39.02401,176.60008,-1149.60371,-2033.68356
2046,-1213.95055,-1086.0051,-869.61969,-51.8838,-132.69221,-14.68391,-84.4373,0,1496.34549,1554.21272,1027.43782,897.28992,0,39.69479,178.76791,-1165.21787,-2066.18522
2047,-1235.79487,-1106.9045,-889.13624,-52.7773,-134.83074,-14.90687,-85.87883,0,1522.1439,1580.2523,1042.35692,912.4655,0,40.37249,181.27521,-1181.00456,-2099.31493
2048,-1258.69024,-1128.14113,-908.09975,-53.67572,-136.85786,-15.10174,-87.33931,0,1547.56112,1606.07423,1054.65781,927.35907,0,41.05789,183.23164,-1196.99421,-2132.31862
2049,-1282.48234,-1149.67936,-926.30287,-54.58235,-139.01898,-15.31608,-88.82417,0,1573.73873,1632.49227,1068.60742,942.7078,0,41.7518,185.52279,-1213.18086,-2166.02757
2050,-1307.15792,-1171.69934,-943.87745,-55.49404,-141.18936,-15.52393,-90.32805,0,1600.11376,1659.09571,1082.0379,958.14427,0,42.45397,187.69936,-1229.54586,-2200.02217
2051,-1332.94948,-1193.36993,-960.79155,-56.41678,-143.49545,-15.75144,-91.8511,0,1627.22485,1686.31446,1097.033,974.02822,0,43.16551,190.19258,-1246.15031,-2234.76374
2052,-1360.05386,-1215.1639,-977.00436,-57.34609,-145.82135,-15.97337,-93.39957,0,1654.5071,1713.71068,1111.49738,989.98889,0,43.88514,192.56867,-1262.94363,-2269.78235
2053,-1388.52166,-1238.10245,-992.99508,-58.2842,-148.16327,-16.18941,-94.96944,0,1682.04077,1741.30652,1125.45258,1006.05681,0,44.61323,194.83116,-1279.91201,-2305.09222
2054,-1418.10416,-1262.13392,-1009.39519,-59.23326,-150.52757,-16.40151,-96.56718,0,1709.90525,1769.17925,1138.94631,1022.27972,0,45.35194,196.98896,-1297.13786,-2340.82581
2055,-1448.43978,-1288.13862,-1026.92308,-60.19749,-153.02967,-16.63207,-98.19334,0,1738.70081,1797.72949,1153.94665,1039.02539,0,46.10217,199.44949,-1314.61301,-2377.38222
2056,-1479.17464,-1314.88186,-1045.80886,-61.17583,-155.54893,-16.85881,-99.83829,0,1767.83258,1826.56336,1168.47068,1055.93019,0,46.86348,201.8014,-1332.30975,-2414.35618
2057,-1510.36494,-1344.58845,-1065.19336,-62.17359,-158.0898,-17.08079,-101.51069,0,1797.56027,1855.82602,1182.62425,1073.1127,0,47.63906,204.06352,-1350.33482,-2451.9555
2058,-1542.04436,-1375.9371,-1083.9954,-63.19252,-160.75385,-17.32216,-103.21492,0,1828.35405,1885.92291,1198.25811,1090.90001,0,48.43105,206.61936,-1368.68915,-2490.59646
2059,-1574.05131,-1409.21885,-1102.07632,-64.23146,-163.42641,-17.5599,-104.94994,0,1859.70187,1916.46906,1213.46606,1108.95614,0,49.23842,209.07291,-1387.36089,-2529.87844
2060,-1606.32312,-1443.59185,-1120.27709,-65.29248,-166.10875,-17.79364,-106.71456,0,1891.5695,1947.4868,1228.2609,1127.27538,0,50.06166,211.42674,-1406.37443,-2569.84107
2061,-1638.87212,-1479.21601,-1139.30767,-66.37867,-168.9022,-18.0451,-108.51315,0,1924.44443,1979.32335,1244.43622,1146.17237,0,50.90136,214.05334,-1425.72876,-2610.82265
2062,-1671.59361,-1515.43862,-1159.32922,-67.48798,-171.69907,-18.29228,-110.34216,0,1957.78483,2011.61758,1260.16382,1165.31076,0,51.75678,216.57278,-1445.4107,-2652.45593
2063,-1704.34829,-1550.93178,-1180.58899,-68.62145,-174.5966,-18.55602,-112.205,0,1991.99424,2044.71333,1277.16954,1184.97332,0,52.6286,219.34377,-1465.44174,-2695.09961
2064,-1737.15465,-1588.02412,-1203.2395,-69.77895,-177.48615,-18.81529,-114.10168,0,2026.71376,2078.25949,1293.70077,1204.88977,0,53.51619,222.00206,-1485.80584,-2738.37945
2065,-1770.12292,-1625.48246,-1227.63867,-70.95885,-180.46166,-19.08876,-116.03308,0,2062.32303,2112.57036,1311.42103,1225.32479,0,54.41963,224.89399,-1506.5015,-2782.61047
2066,-1803.29175,-1664.00683,-1253.83935,-72.1607,-183.32924,-19.33947,-117.99843,0,2097.95414,2146.99776,1326.96968,1245.70645,0,55.33815,227.32111,-1527.52744,-2827.12974
2067,-1836.78194,-1702.5641,-1281.19539,-73.38507,-186.37142,-19.62262,-120.00024,0,2134.85993,2182.46188,1345.29313,1266.85951,0,56.27181,230.31145,-1548.87172,-2872.86766
2068,-1870.7555,-1741.16034,-1309.24589,-74.62792,-189.3953,-19.89999,-122.03319,0,2172.12191,2218.30213,1363.03228,1288.19408,0,57.21957,233.16822,-1570.52404,-2919.14517
2069,-1905.33158,-1780.55799,-1337.53006,-75.89272,-192.405,-20.17247,-124.10054,0,2209.80385,2254.53934,1380.21557,1309.73854,0,58.1821,235.89682,-1592.49197,-2965.97574
2070,-1940.5605,-1820.52079,-1365.93031,-77.17524,-195.40185,-20.44038,-126.20107,0,2247.87576,2291.15419,1396.83933,1331.47592,0,59.15858,238.49654,-1614.76524,-3013.33616
